2026-08-19 22:46:02 | DEBUG    | services.llm_service | ainvoke:43 | LLM replied with 1613 characters
2026-08-19 22:46:02 | INFO     | services.analysis_service | analyze:34 | Analysis complete: category=financials, answer=1613 chars
2026-08-19 22:46:02 | INFO     | services.chat_service | query_stream:107 | Run b96d862c1f544e058871e4a5ed82fd4a finished (category=financials)
2026-08-19 22:46:02 | INFO     | api.socket_handler | disconnect:28 | Client disconnected: HHVf1s0q0fok4WXbAAAD
2026-08-19 22:46:03 | INFO     | services.vector_service | delete_session:118 | Deleted filings for chat chat-A
2026-08-19 22:46:03 | INFO     | api.socket_handler | connect:24 | Client connected: 7pcuCaqom6zE0dZkAAAF
2026-08-19 22:46:03 | INFO     | api.socket_handler | query:42 | Query from 7pcuCaqom6zE0dZkAAAF (chat=chat-A): 'What was total revenue and net income for Apex Financial Holdings?'
2026-08-19 22:46:03 | INFO     | services.chat_service | query_stream:80 | Run a36d551be08147a6919c6d52a27f8d4a started: 'What was total revenue and net income for Apex Financial Holdings?' (session=chat-A)
2026-08-19 22:46:03 | DEBUG    | services.vector_service | _store:129 | Opened collection for chat chat-A
2026-08-19 22:46:03 | INFO     | services.vector_service | search:104 | Retrieved 0 chunk(s) for 'What was total revenue and net income for Apex Fin' (chat=chat-A)
2026-08-19 22:46:03 | INFO     | graph.nodes | retrieve:63 | No filing indexed for this chat — answering without context
2026-08-19 22:46:03 | DEBUG    | graph.nodes | retrieve:64 | Retrieved 0 chars of context from 0 chunk(s)
2026-08-19 22:46:03 | DEBUG    | services.llm_service | ainvoke:39 | LLM call with 1 message(s)
2026-08-19 22:46:03 | DEBUG    | services.llm_service | ainvoke:43 | LLM replied with 21 characters
2026-08-19 22:46:03 | INFO     | services.router_service | classify:42 | Routed 'What was total revenue and net income for Apex Financial Hol' -> financials
2026-08-19 22:46:03 | DEBUG    | services.router_service | classify:43 | Router raw reply: 'assistant\n\nfinancials'
2026-08-19 22:46:03 | INFO     | graph.nodes | node:85 | Running Financials analysis
2026-08-19 22:46:03 | DEBUG    | services.analysis_service | analyze:27 | Analyzing category=financials (context=0 chars, query='What was total revenue and net income for Apex Financial Hol')
2026-08-19 22:46:03 | DEBUG    | services.llm_service | ainvoke:39 | LLM call with 2 message(s)
2026-08-19 22:46:11 | DEBUG    | services.llm_service | ainvoke:43 | LLM replied with 1608 characters
2026-08-19 22:46:11 | INFO     | services.analysis_service | analyze:34 | Analysis complete: category=financials, answer=1608 chars
2026-08-19 22:46:11 | INFO     | services.chat_service | query_stream:107 | Run a36d551be08147a6919c6d52a27f8d4a finished (category=financials)
2026-08-19 22:46:11 | INFO     | api.socket_handler | disconnect:28 | Client disconnected: 7pcuCaqom6zE0dZkAAAF
2026-08-19 22:46:11 | DEBUG    | services.vector_service | delete_session:116 | Nothing to delete for chat never-existed
2026-08-19 22:47:46 | INFO     | prompts.templates | _load_prompts:31 | Loaded 9 prompts from prompts.yaml
2026-08-19 22:47:47 | INFO     | services.llm_service | __init__:29 | LLMService ready (model=llama3.1:latest, embeddings=nomic-embed-text:latest, base_url=http://localhost:11434, temperature=0.0)
2026-08-19 22:47:47 | INFO     | services.vector_service | _drop_stale_collections:155 | Cleared 2 orphaned chat collection(s) from disk
2026-08-19 22:47:47 | INFO     | services.vector_service | __init__:51 | VectorService ready (persist=/home/selva/Documents/Production/Corporate_Filing_Analyzer_Agent/backend/data/chroma_db, chunk_size=1000, overlap=200)
2026-08-19 22:47:47 | INFO     | services.router_service | __init__:21 | RouterService ready (8 categories)
2026-08-19 22:47:47 | INFO     | services.analysis_service | __init__:22 | AnalysisService ready (8 categories)
2026-08-19 22:47:47 | INFO     | graph.builder | build_graph:80 | Filing graph compiled with 8 analysis nodes
2026-08-19 22:47:47 | INFO     | services.chat_service | __init__:42 | ChatService ready
2026-08-19 22:47:47 | INFO     | main | <module>:108 | Backend ready — HTTP + Socket.IO mounted
2026-08-19 22:47:57 | INFO     | prompts.templates | _load_prompts:31 | Loaded 9 prompts from prompts.yaml
2026-08-19 22:47:57 | INFO     | services.llm_service | __init__:29 | LLMService ready (model=llama3.1:latest, embeddings=nomic-embed-text:latest, base_url=http://localhost:11434, temperature=0.0)
2026-08-19 22:47:57 | INFO     | services.vector_service | __init__:51 | VectorService ready (persist=/home/selva/Documents/Production/Corporate_Filing_Analyzer_Agent/backend/data/chroma_db, chunk_size=1000, overlap=200)
2026-08-19 22:47:57 | INFO     | services.router_service | __init__:21 | RouterService ready (8 categories)
2026-08-19 22:47:57 | INFO     | services.analysis_service | __init__:22 | AnalysisService ready (8 categories)
2026-08-19 22:47:57 | INFO     | graph.builder | build_graph:80 | Filing graph compiled with 8 analysis nodes
2026-08-19 22:47:57 | INFO     | services.chat_service | __init__:42 | ChatService ready
2026-08-19 22:47:57 | INFO     | main | <module>:108 | Backend ready — HTTP + Socket.IO mounted
2026-08-19 22:48:05 | DEBUG    | services.vector_service | ingest_file:70 | Ingesting apex_10k.txt (2417 bytes) into chat chat-A
2026-08-19 22:48:05 | DEBUG    | services.vector_service | _store:129 | Opened collection for chat chat-A
2026-08-19 22:48:05 | INFO     | services.vector_service | ingest_file:90 | Ingested apex_10k.txt -> 3 chunks (chat=chat-A)
2026-08-19 22:48:05 | INFO     | main | upload_file:89 | Uploaded apex_10k.txt -> 3 chunks
2026-08-19 22:48:05 | INFO     | api.socket_handler | connect:24 | Client connected: a-COUOXgLDqbWSiaAAAB
2026-08-19 22:48:05 | INFO     | api.socket_handler | query:42 | Query from a-COUOXgLDqbWSiaAAAB (chat=chat-A): 'What was total revenue and net income for Apex Financial Holdings?'
2026-08-19 22:48:05 | INFO     | services.chat_service | query_stream:80 | Run 2d39823e60b942f2a0fdc1b44d9a156c started: 'What was total revenue and net income for Apex Financial Holdings?' (session=chat-A)
2026-08-19 22:48:06 | INFO     | services.vector_service | search:104 | Retrieved 3 chunk(s) for 'What was total revenue and net income for Apex Fin' (chat=chat-A)
2026-08-19 22:48:06 | DEBUG    | graph.nodes | retrieve:68 | Retrieved 2416 chars of context from 3 chunk(s)
2026-08-19 22:48:06 | DEBUG    | services.llm_service | ainvoke:39 | LLM call with 1 message(s)
2026-08-19 22:48:06 | DEBUG    | services.llm_service | ainvoke:43 | LLM replied with 21 characters
2026-08-19 22:48:06 | INFO     | services.router_service | classify:42 | Routed 'What was total revenue and net income for Apex Financial Hol' -> financials
2026-08-19 22:48:06 | DEBUG    | services.router_service | classify:43 | Router raw reply: 'assistant\n\nfinancials'
2026-08-19 22:48:06 | INFO     | graph.nodes | node:99 | Running Financials analysis
2026-08-19 22:48:06 | DEBUG    | services.analysis_service | analyze:27 | Analyzing category=financials (context=2416 chars, query='What was total revenue and net income for Apex Financial Hol')
2026-08-19 22:48:06 | DEBUG    | services.llm_service | ainvoke:39 | LLM call with 2 message(s)
2026-08-19 22:48:16 | DEBUG    | services.llm_service | ainvoke:43 | LLM replied with 2185 characters
2026-08-19 22:48:16 | INFO     | services.analysis_service | analyze:34 | Analysis complete: category=financials, answer=2185 chars
2026-08-19 22:48:16 | INFO     | services.chat_service | query_stream:107 | Run 2d39823e60b942f2a0fdc1b44d9a156c finished (category=financials)
2026-08-19 22:48:16 | INFO     | api.socket_handler | disconnect:28 | Client disconnected: a-COUOXgLDqbWSiaAAAB
2026-08-19 22:48:16 | INFO     | api.socket_handler | connect:24 | Client connected: DVS9hsSzqb5drI0LAAAD
2026-08-19 22:48:16 | INFO     | api.socket_handler | query:42 | Query from DVS9hsSzqb5drI0LAAAD (chat=chat-B): 'What was total revenue and net income for Apex Financial Holdings?'
2026-08-19 22:48:16 | INFO     | services.chat_service | query_stream:80 | Run 3f9e3f4e778147a18c418b199bae9e29 started: 'What was total revenue and net income for Apex Financial Holdings?' (session=chat-B)
